Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
TORNTPOWER,Utilities,Power,Power,Integrated Power Utilities
TFCILTD,Financial Services,Financial Services,Finance,Financial Institution
TARIL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TCI,Services,Services,Transport Services,Logistics Solution Provider
TINNARUBR,Industrials,Capital Goods,Industrial Products,Rubber
TRANSRAILL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
TRANSWORLD,Services,Services,Transport Services,Shipping
TREJHARA,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
TRENT,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
TIIL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
TRF,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
TBZ,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
TRIVENI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
TIMKEN,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
TTKHLTCARE,Diversified,Diversified,Diversified,Diversified
TTKPRESTIG,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
TIINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
TVTODAY,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
TVSHLTD,Financial Services,Financial Services,Finance,Investment Company
TVSELECT,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
TVSMOTOR,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
TVSSRICHAK,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
TVSSCS,Services,Services,Transport Services,Logistics Solution Provider
UCAL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
UFLEX,Industrials,Capital Goods,Industrial Products,Packaging
UGROCAP,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ULTRACEMCO,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
UNIECOM,Information Technology,Information Technology,IT - Software,Software Products
UNICHEMLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
UNIMECH,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
UNIONBANK,Financial Services,Financial Services,Banks,Public Sector Bank
TRITURBINE,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
UNIPARTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
UBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
UNIDT,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
UNIVPHOTO,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
UNIVCABLES,Industrials,Capital Goods,Industrial Products,Cables - Electricals
UNOMINDA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
UDS,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
UPL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
USHAMART,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
UTIAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
UTTAMSUGAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
UNITDSPR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
UNIENTER,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
VGUARD,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
VMART,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
WABAG,Utilities,Utilities,Other Utilities,Water Supply & Management
VALIANTORG,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
VADILALIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
VAIBHAVGBL,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DBREALTY,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
VSSL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
VHL,Financial Services,Financial Services,Finance,Investment Company
VARROC,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
VTL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
MANYAVAR,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
VENKEYS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry
VENTIVE,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
VENUSPIPES,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
VERANDA,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
VESUVIUS,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
VETO,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
VSTL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
VIDHIING,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
VIJAYA,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
VIMTALABS,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
VINATIORGA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
VINDHYATEL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
VINCOFE,Services,Services,Commercial Services & Supplies,Trading & Distributors
VEEDOL,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
VIPIND,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
VISHNU,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
VBL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages
VLSFINANCE,Financial Services,Financial Services,Finance,Investment Company
